OSEBuildingID,DataYear,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,TotalGHGEmissions,GHGEmissionsIntensity,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude
37.0,2015.0,1989.0,1.0,2.0,51582.0,0.0,26.7,1472548.0,0.0,0.0,0.08,10.27,0.08,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.63303191,-122.35245717
38.0,2015.0,1906.0,1.0,3.0,87262.0,0.0,59.2,3988729.0,0.0,2635261.0,1.65,149.39,1.65,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.66391557,-122.33172174
40.0,2015.0,1994.0,1.0,4.0,81871.0,0.0,90.6,7419765.0,0.0,4153630.0,2.8,243.37,2.8,NonResidential,Hotel,4,NORTHEAST,47.66585193,-122.29889419
41.0,2015.0,1955.0,1.0,2.0,126394.0,0.0,11.7,306721.0,0.0,34000.0,0.02,3.71,0.02,NonResidential,"Self-Storage Facility
",4,NORTHEAST,47.66270326,-122.29612323
46.0,2015.0,1961.0,7.0,2.0,714095.0,0.0,66.9,47843892.0,0.0,0.0,0.18,333.54,0.18,NonResidential,Distribution Center,2,GREATER DUWAMISH,47.5106034,-122.29027588
50.0,2015.0,1990.0,1.0,2.0,54986.0,0.0,30.1,1655612.0,0.0,373700.0,0.42,28.78,0.42,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.65726207,-122.39065097
51.0,2015.0,1950.0,1.0,2.0,175565.0,0.0,34.1,6227419.0,0.0,4665500.0,1.44,258.67,1.44,SPS-District K-12,K-12 School,4,NORTHEAST,47.68245037,-122.2939354
52.0,2015.0,1961.0,1.0,2.0,94900.0,0.0,63.7,6043853.0,0.0,1754334.0,1.1,123.08,1.1,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66580963,-122.3860321
53.0,2015.0,1900.0,1.0,2.0,52554.0,0.0,36.3,2137686.0,0.0,911721.0,0.98,56.97,0.98,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58002948,-122.31181286
54.0,2015.0,1954.0,1.0,3.0,175015.0,0.0,40.5,7080118.0,0.0,4386042.0,1.37,251.72,1.37,NonResidential,K-12 School,6,NORTHWEST,47.68894837,-122.33616192
